P-mod ,Connector 1,Ident,Kodierung 1, ASM shield terminal,Stripping length,Unnamed: 6
P8378690,HPK90 2-pol,1047600,1046872,1045181,93,-
P8378691,HPK90 2-pol,1047600,1046882,1045181,104,-
P8378692,HPK90 1-pol,1046914,1046871,1045181,114,-
P8378747,HPK90 1-pol,1046914,1046871,1045181,114,-
P8378748,HPK90 2-pol,1047600,1046882,1045181,104,-
P8378749,HPK90 2-pol,1047600,1046872,1045181,93,-
P8378763,HPK90 1-pol,1046914,1046871,1045181,79,-
P8378764,HPK90 2-pol,1047600,1046882,1045181,118,-
P8378765,HPK90 2-pol,1047600,1046872,1045181,98,-
P8382698,HPK90 2-pol,1047600,1046882,1045181,77,-
P8382699,HPK90 2-pol,1047600,1046872,1045181,77,-
P8382700,HPK90 1-pol,1046914,1046871,1045181,77,-
P8382728,HPK90 2-pol,1047600,1046872,1045181,77,-
P8382730,HPK90 2-pol,1047600,1046882,1045181,77,-
P8382731,HPK90 1-pol,1046914,1046871,1045181,77,-
P8382741,HPK90 1-pol,1046914,1046871,1045181,114,-
P8382742,HPK90 2-pol,1047600,1046882,1045181,104,-
P8382743,HPK90 2-pol,1047600,1046872,1045181,93,-
